,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18
MQN_1,0.31308239359561435,-0.06202040977735248,-0.007891628629246994,-0.08046242376717117,0.1302403329503168,0.018359996979028514,0.036372998903114344,0.06123915237867953,-0.09398023770866343,-0.06188236538647254,0.012548303172470037,-0.06264358142022314,0.215122273165256,-0.04558194132300837,0.043913334257815954,-0.06560093118924731,-0.08064746326861821,-0.10419241399223356
MQN_2,-0.0048337087117024755,-0.02803841000627944,0.4068762168381033,0.04981819770864109,0.3440280979377063,-0.2287428351530325,0.04098863428345199,-0.19376242965399154,-0.08526785343165083,-0.020966047429327596,-0.07470618104615634,0.031354372326510956,-0.052850073376455524,0.0022187817530341337,0.15142818417388357,-0.07863848983003316,0.2508290921469487,0.1515193459594409
MQN_3,-0.05664988346272298,-0.06285127617924498,0.13302769171118106,0.31803337590432496,0.10668526060559454,-0.16184172939109265,-0.13596073883725482,0.42534391565435253,0.2536152528477031,-0.15471098249528992,-0.30221664426450445,-0.10574737978030402,-0.07265742908809643,-0.2890570219654148,-0.00828128206610959,0.2307090747270427,-0.23787200652709387,-0.05327974504562078
MQN_4,-0.008984361328241534,-0.11511617627208047,0.0501935404338523,0.24199539811038978,0.030118749397147954,0.06650934171965568,0.025344732454059226,0.3831236914267914,0.26253160331874215,-0.18082459215982352,0.3817247041646609,-0.17694834570500606,-0.029575272860670642,0.6101047091729999,0.17320886530897733,-0.26211635482989204,0.05886551514120395,-0.1041041114036169
MQN_5,0.021610065150046924,0.12265819323530733,0.05669985688793988,-0.06751353917292335,-0.029314108702771825,-0.1377494008948883,0.3446431523144079,0.1766655149674273,0.3277077291610427,0.4847718505121717,0.4004549592392414,0.22723063777786112,0.144152563764818,-0.21733154251740375,0.14075286670644646,0.2724675489699765,-0.0022007528883038487,-0.21217419063662535
MQN_6,-0.02981304532065216,0.1036236017231918,0.28666663308978646,0.13009065563781022,-0.3002257596693592,0.08053781926815928,-0.205438656220195,-0.3538369308249444,-0.10777437833770408,0.052906538586093184,0.21771064518750294,-0.21051434545263129,0.1100257523940799,0.02894049092951769,-0.10762941611158586,0.04035735075777471,-0.002977268121451289,-0.4088549994695225
MQN_7,-0.028223423913932923,0.1192788248691952,0.030123838314619046,0.20392986075407596,-0.2377284023468085,-0.29425667889033386,-0.4657231562985437,-0.055650647367335236,0.0811573467479675,0.16118594653997517,-0.029820508202534155,-0.1636414271633922,0.13197661374563613,-0.00783187750598384,-0.05666652080636774,-0.051342431922917334,-0.18382283016637302,-0.15551948796628984
MQN_8,-0.01919524389200049,0.29191119718349495,0.115146064635631,-0.1110441073443372,0.03518621432827086,0.19196006371473823,0.3283353321365457,-0.07723414057491906,0.26848431408464785,-0.13493984338508871,-0.21753309557359332,-0.2778879817012704,-0.2816073200479458,0.03549914900707754,-0.09994993847312239,0.1478536458873684,0.05172256837917026,-0.2890333891650216
MQN_9,-0.026558886069333935,-0.25679475371065524,0.18681634919776652,0.09136505893025759,-0.20978004775099082,0.27906626969319037,0.12936869847928947,-0.050666275419941044,0.26938475736486667,0.15757926114700924,-0.38274924531991505,0.20116700932517007,0.0664922673399588,-0.011555534392360466,0.14639641397285877,-0.22913476068129554,0.051942911463349443,0.009423656184440389
MQN_10,0.2742030421453505,0.15331508707006797,0.05948325984532557,-0.09199624360444124,-0.11896417587114048,-0.09556147172973607,-0.17135426276533186,0.10685386411266003,-0.038677450291138914,0.11619622153334049,0.106743321601956,0.1571854365393659,-0.09555710149417553,0.04438804457188166,-0.0914853683488203,-0.1417261452904828,-0.028688859782664913,0.2729014479261678
MQN_11,0.2720580944524508,-0.09536070982108347,-0.04924711211865927,0.1807374699493263,0.04709876200403048,-0.040283093256494096,0.07343261948331285,-0.07598182221428267,0.06759254811725073,-0.1128616273702724,0.06901068834983097,-0.09651210594290706,-0.17567530524468375,-0.09873405459911536,-0.3161845561842823,0.08246045733229718,0.05980160491718406,0.007385446883534463
MQN_13,0.3122488055496544,0.0935142349499589,-0.09866778498446914,0.07022306136652619,0.06954319264807057,-0.02777681516091112,0.09004329197331529,-0.00989192829912446,-0.014869096572963775,-0.08192282561948189,-0.062138090089882476,-0.0381846707901765,0.20412753046755938,-0.035956268121817486,0.09183720626865172,-0.06932692026238557,-0.004060576784976872,-0.07627892661867836
MQN_14,0.09177140651394214,0.23413705049515898,0.28592323299752376,-0.19848503473025744,-0.2752710752303959,0.13498778310040097,-0.053417935715681084,0.08464688788824996,0.022849084285315152,-0.022496976755780707,-0.21624401598172674,0.1306142666582803,0.050171043235557856,0.13469798988809029,0.0013068538456256858,-0.045185873785749495,0.3701838280497841,-0.1150235915677432
MQN_15,-0.012007120810485708,-0.007991671637723078,0.3275219368932375,0.01996076930831354,0.29682488422949305,-0.22951130042961382,0.23864688755804578,-0.2912965375749415,-0.1074450237888579,0.11069102078322163,0.11218850702421673,-0.20235219245101532,-0.16584795887672127,0.032965062567735307,0.11718829617080401,-0.16657029998952708,-0.20909992333418378,-0.02077244259328549
MQN_16,0.2956284173412679,-0.20202626737055546,0.020367692715524664,-0.05276915743281244,0.04681161023024071,0.04461645736400182,-0.07461991527607585,0.006245854742308787,-0.019183241771359487,-0.10941840074289523,0.07739024554164148,0.029389635361350645,-0.04356160265583655,-0.09031419834890869,0.015419864227710798,0.06682936712566565,0.09163466909655807,-0.1572862831458874
MQN_17,0.02262996768138675,-0.2787997885115,0.20436916223921223,-0.2754273104383084,0.09608521823422742,0.205928038386568,0.013068689059294482,0.162994836975099,-0.06976664448374086,0.2588338941705479,-0.0853056685433491,-0.13532853243509846,0.18034699367275447,0.040600585256174694,-0.19544088403265522,-0.20300404574409128,-0.3887280655852453,-0.020594111968480544
MQN_19,0.2821766226973305,0.20288179256130487,-0.08554970978635339,0.12106094655609426,-0.001867745831931956,-0.037508289361932665,0.10842397098257325,0.006085406122713773,-0.02963283069831517,0.0014470968042163547,-0.05350388559061589,-0.039453364266946775,0.206929477198925,-0.011021752779862051,0.016302075486361218,-0.16144242464733227,-0.08770142252678081,0.022996784471774858
MQN_20,0.3051678140605777,0.08194331616406757,0.1010578026459946,-0.011482158184781512,-0.12263502316108475,0.018069987501131386,-0.04003048819145218,0.04043734773321339,0.10077860056231035,0.07922005300509437,-0.013905990734599838,0.10205931926123689,-0.17075029878930492,0.007384021226021944,-0.1727788508867361,-0.11659344417074417,0.018227313428790002,0.18610762875808376
MQN_24,0.040766168816580343,0.23295426666042882,-0.023480395808335684,0.10129718324046161,0.3017138290483604,0.43112103251221606,-0.2654648296451346,-0.05228960110935562,0.07772355454176934,0.16487516315847203,0.08890803155794554,0.10108651562294783,-0.18195562501881812,-0.023556608196639184,-0.02768159094476842,-0.00932400876538702,-0.08380732388225269,0.003892686937558133
MQN_25,0.029131692855321346,0.24303896702099487,-0.09742835976826002,0.14898340116869643,0.32434227795551845,0.4024968485972879,-0.2184759888781323,-0.0997238875600146,0.06277913036865093,0.1330561251355452,0.05388951047458374,0.08091559428315498,-0.0661369081958126,-0.041863671867016186,0.1529156174108738,-0.02222409267038835,-0.11092273027554016,-0.005794395909551753
MQN_26,0.06963001421244558,0.10464798842515002,0.49273787649150635,0.1516937285664893,0.19075199117646427,-0.07414716025607428,-0.19180908804544564,0.24090753991043617,-0.04165727621665731,0.038468132681531396,-0.05564702094435838,0.09338214320419524,0.11906029856561993,-0.06025026173015471,0.027952003190338106,0.06565361601036587,0.18247864217718968,0.032267652934886315
MQN_27,0.22869889835558097,0.13519519868815857,0.01504599167379201,-0.10654610290997214,-0.1708822434000918,-0.25092715532302884,0.03223409318298266,-0.043567329828493026,0.21012463157826808,0.11910462170493273,0.03282177861992187,0.03259336568399804,-0.3569728110877246,0.03426796177996091,0.020906321695767515,-0.20225113678297613,-0.1882006125211626,0.11255054788607835
MQN_28,0.046214293477295505,0.3105989712105904,0.16834680028056703,-0.20219498450904635,0.02873192124404163,0.12317299448869677,0.118617746147542,0.1916909775314662,-0.06056765674273281,-0.17196294988117972,0.12586913390284762,-0.25873799016563503,0.2521735952224822,0.033605173605432824,-0.33054999053060424,0.2067137036416465,-0.06846510161534482,0.261093466844543
MQN_29,0.2062307134800472,0.21358371787461283,-0.1593857973554898,0.19814269052318564,0.04411504288583477,-0.024501545582384304,0.17370855633761587,-0.09834596349143263,-0.007589949125885687,-0.008701502232596709,-0.20171550367929258,-0.07409398465373707,0.41768668029329564,-0.0036869277896461523,0.2398701413354159,-0.14382752977904117,-0.01249278755571187,-0.06315369960555263
MQN_30,0.18958557768163917,-0.24533024032028808,0.09325717408467805,0.27232531553851097,-0.13791924483018297,0.15392969965592854,0.16178111456362892,-0.15755651898278075,0.11347576677114242,0.017964079740447104,-0.010596731529101431,-0.05038916098988242,-0.0631740257268876,-0.08142324845613927,-0.2211879048879819,-0.009033058002078284,-0.131686481333965,-0.016916788129257024
MQN_32,0.29536794261340626,-0.09339896295284073,-0.09008949541803472,0.06490594209942098,0.04250644651396219,-0.049187586616682426,-0.07062593589592374,-0.040265636927366566,-0.027119161008144956,-0.18463468729066454,0.10604391242957463,0.12385942578092402,-0.13432031814272244,-0.06998285672396086,0.04894418858860647,0.12748663539527733,0.2328449639506372,-0.17834827957275085
MQN_33,-0.007248845500317874,-0.0733881460507335,0.0917898410182737,-0.10413809777909107,0.16207685649415138,-0.10296523696487515,-0.09935320647072501,-0.36937805693250164,0.4568090129244636,-0.30145526140750944,0.03595307440695718,0.4063423027326109,0.32038778194540535,0.26602402977720907,-0.1995507651234948,0.1824591145490335,-0.20716865531819265,0.06756412296358048
MQN_34,0.03672591730388356,0.0638535224280569,0.23329868841317736,-0.1106523248914246,-0.2934236865146061,0.17586412470086674,0.002774162809726185,-0.014680291181469683,-0.05573296836653311,-0.4586583870072694,0.1867742507911426,0.07170603427032983,-0.08559839741182722,-0.26334528397057316,0.49315656204103214,0.01816353549649384,-0.3791575732528513,0.11155566696715608
MQN_35,0.09144521532427523,-0.2602939425869319,0.13743778649930893,0.2992987981893375,-0.12152241959608147,0.24383535541622794,0.1016424561203012,-0.04247742460424327,-0.11405663084936893,0.09347395846154186,0.24422471561573386,-0.05092384228163814,0.12416894409803629,-0.10848861840139963,-0.055460979564173826,0.16186478243576738,0.1575158597850272,0.28153371701334584
MQN_36,0.19988270669999955,-0.20211146239026265,0.04167824024123914,-0.30431727327969676,0.166407567099079,0.0038248494568689233,-0.11286191423177741,0.15397477060875717,-0.14019471480291065,-0.05934675779657341,0.00484161902867467,0.145488310268089,-0.05045993983566248,-0.0530720030923179,-0.07269725111568709,-0.08871350785967955,-0.06410495450762249,-0.4701092093624708
MQN_37,-0.018869809087274373,-0.10967688887183218,-0.0686445824206628,-0.28261759618513305,0.08582344225854885,0.010801506641244222,-0.2209190331363465,-0.09621639001439473,0.4726680786330024,-0.05222674994549672,0.1435458337764092,-0.4136258888607751,0.1316445423263324,-0.39947040440869663,0.051818968395925355,-0.2964842346824474,0.30514720638791976,0.13796311038597542
MQN_40,0.2690924524959515,-0.04397293630305206,-0.05814229781781147,-0.013130326243869993,-0.006012312507569212,-0.028138142918046664,-0.042690455187180246,-0.05282294094404615,0.06143190602238259,0.14538848850447178,-0.23723682074173671,-0.22417272056834572,-0.09001043268432572,0.26393897608289885,0.14135304573383362,0.2726849697112022,-0.07218391040129211,0.12321853070428966
MQN_41,0.17179895922461724,-0.19687356571685793,0.009458750328510998,-0.24008706063128743,-0.021009697468616678,0.035622552224516685,-0.19663930209221586,-0.07540325691612576,0.030725948006358722,0.19834039851810378,-0.058741529825838995,-0.23521222920468815,0.011004994826724651,0.21600629458143894,0.34991342227843314,0.4608690247427254,0.016656427535113153,0.09314207576617121
